movie_id,movie_name,year,genre,overview,director,cast
tt13491620,unpaused,2020.0,"Drama, Romance","An anthology that brings together 5 unique creators of Hindi cinema featuring stories of love, new beginnings, second chances, and a glimmer of hope. Set and filmed in the times of the Covid-19 lockdown.","Nikkhil Advani, Avinash Arun, Tannishtha Chatterjee, Krishna D.K., Nitya Mehra, Raj Nidimoru","Gulshan Devaiah, Saiyami Kher, Richa Chadha, Ishwak Singh"
tt23220368,vedaat maratha veer daudale saat,2012.0,History,Seven valiant warriors who had the sole aim of bringing Shivaji Maharaj's dream of Swarajya to reality.,Mahesh Manjrekar,"Akshay Kumar, Pravin Tarde, Satya Manjrekar, Utkarsh Shinde"
tt18265146,victoria: ek rahasya,2023.0,"Horror, Thriller",A couple arrives at Hotel Victoria and are greeted by the creepy owner who is the only occupant of the sprawling property. The hotel seems to house a sinister presence that harasses the couple till the secrets of the hotel are unearthed.,"Jeet Ashok, Virajas Kulkarni","Pushkar Jog, Sonalee Kulkarni, Aashay Kulkarni, Heera Sohal"
tt0173369,tum mere ho,1990.0,"Fantasy, Horror, Romance",Shiva is blessed with magical powers of charming snakes. He falls head-over-heels in love with Paro.,Tahir Hussain,"Aamir Khan, Juhi Chawla, Ajit Vachani, Sudhir Pandey"
tt0326983,jaani dushman: ek anokhi kahani,2002.0,"Action, Fantasy, Horror",A shape-shifting snake exacts vengeance on a group of friends for a crime they did not even commit.,Rajkumar Kohli,"Sunny Deol, Arman Kohli, Manisha Koirala, Akshay Kumar"
tt0075669,amar akbar anthony,1977.0,"Action, Comedy, Drama","Three brothers are separated and united after many years - one is brought up a Hindu, another a Muslim and the last (and most memorable) a Christian. Hilarity and adventure ensues.",Manmohan Desai,"Vinod Khanna, Rishi Kapoor, Amitabh Bachchan, Shabana Azmi"
tt15547882,spirit,2012.0, ,A gang leader tries to keep a promise made to his dying friend and takes on the other criminal gangs.,Sandeep Reddy Vanga,"Shahid Kapoor, Prabhas, Olivia Morris, Trisha Krishnan"
tt0116763,khamoshi: the musical,1996.0,"Drama, Musical, Romance",The daughter of deaf-mute parents seeks their understanding when she discovers a love for music.,Sanjay Leela Bhansali,"Manisha Koirala, Nana Patekar, Salman Khan, Seema Biswas"
tt0061072,teesri kasam,1966.0,"Comedy, Drama, Romance",A naive bullock-cart driver falls for a traveling courtesan.,Basu Bhattacharya,"Raj Kapoor, Waheeda Rehman, Dulari, Iftekhar"
tt9680136,pati patni aur woh,2019.0,"Comedy, Romance","Chintu Tyagi is an ordinary, middle class man who finds himself torn between his wife and another woman.",Mudassar Aziz,"Kartik Aaryan, Bhumi Pednekar, Ananya Panday, Aparshakti Khurana"
tt15516226,chhatriwali,2023.0,"Comedy, Drama","Sanya is an unemployed chemistry genius looking for a job. However, she also wants to use her knowledge of chemistry to help young minds move beyond the taboos of sex with the right education.",Tejas Prabha Vijay Deoskar,"Rakul Preet Singh, Sumeet Vyas, Satish Kaushik, Dolly Ahluwalia"
tt10515526,lootcase,2020.0,"Comedy, Crime","Nandan Kumar comes across a suitcase and discovers it is full of cash. He takes the suitcase and soon finds himself being chased by a notorious gangster, an honest cop and a minister, who want the suitcase at any cost.",Rajesh Krishnan,"Kunal Kemmu, Rasika Dugal, Vijay Raaz, Ranvir Shorey"
tt0047990,devdas,1955.0,"Drama, Musical, Romance",The scion of a wealthy landowner family turns to alcohol and self-pity and slowly self-destructs after class differences force him to break off his relationship with his childhood sweetheart.,Bimal Roy,"Dilip Kumar, Suchitra Sen, Vyjayanthimala, Motilal"
tt27028399,murder mubarak,2012.0,"Comedy, Horror, Mystery",Add a Plot,Homi Adajania,"Vijay Varma, Sara Ali Khan, Pankaj Tripathi, Dimple Kapadia"
tt28539592,rambo,2012.0,Action,Add a Plot,Rohit Dhawan,"Tiger Shroff, Janhvi Kapoor"
tt23865942,sarzameen,2012.0,"Drama, Mystery, Thriller","A family, in the middle of a rising insurgency in Kashmir, and a terrible secret linking the two..",Kayoze Irani,"Kajol, Prithviraj Sukumaran, Tota Roy Chowdhury, Rajesh Sharma"
tt24245466,ruslaan,2012.0,"Action, Thriller",Plot under wraps.,Katyayan Shivpuri,"Jagapathi Babu, Aayush Sharma, Vidya Malvade, Richard Bhakti Klein"
tt0150433,earth,1998.0,"Drama, Romance, War",It's 1947 and the borderlines between India and Pakistan are being drawn. A young girl witnesses tragedy as her ayah (nanny) is caught between the love of two men and the rising tide of political and religious violence.,Deepa Mehta,"Aamir Khan, Nandita Das, Rahul Khanna, Maia Sethna"
tt17736704,mister mummy,2022.0,"Comedy, Drama",A couple with opposing choices when it comes to children but destiny has something else planned for the childhood sweethearts.,Shaad Ali,"Riteish Deshmukh, Genelia Deshmukh, Mahesh Manjrekar, Atul Sharma"
tt7317482,pailwaan,2019.0,"Action, Drama, Sport","Krishna, a fierce wrestler, faces challenges in his personal life as he tries to fulfill the dream of his father, an ex-wrestler.",S Krishna,"Suniel Shetty, Sushant Singh, Aakanksha Singh, Sudeep"
tt14873108,rajnigandha,2021.0,"Crime, Drama",Rajnigandha is a heart-wrenching story of a father and daughter.,"Pritesh Srivastava, Pritesh Kumar Srivastava","Monika Agnihotrie, Parul Agrawal, Zoie Aggarwal Ahmed, Veebha Anand"
tt0067183,haré rama haré krishna,1971.0,"Drama, Musical","In the background of the rise of the International Hare Krishna movement in the 1970s, is a Montreal-based family of the Jaiswals, consisting of mom, dad, son, Prashant, and daughter, ...                See full summary »",Dev Anand,"Zeenat Aman, Dev Anand, Mumtaz Askari, Baby Guddi"
tt1411956,sold,2014.0,Drama,A girl risks everything for freedom after being trafficked from her mountain village in Nepal to a brothel in India.,Jeffrey D. Brown,"Gillian Anderson, David Arquette, Tillotama Shome, Priyanka Bose"
tt0341266,bhoot,2003.0,"Horror, Mystery, Thriller","When a married couple moves into a flat that is haunted by a spirit, a series of inexplicable experiences drive the wife to near madness. Now, the husband must protect his wife to save their marriage.",Ram Gopal Varma,"Ajay Devgn, Urmila Matondkar, Nana Patekar, Rekha"
tt15334030,martin,2023.0,"Action, Drama, Thriller","A journey of a man discovering himself, finding love and fighting for his motherland. Can he hold the fort on all three gates?",A.P. Arjun,"Dhruva Sarja, Vaibhavi Shandilya, Sriram Reddy Polasane, Nawab Shah"
tt0358053,pyar ke do pal,1986.0,"Action, Drama","Twins separated by a court order meet at camp and decide to reunite their parents, unaware of the dark secret that drove them apart years before.",Rajiv Mehra,"Mithun Chakraborty, Bindu Desai, Krishan Dhawan, Jagdeep"
tt0310254,tumko na bhool paayenge,2002.0,"Action, Romance, Thriller",An amnesiac Hindu man remembers his past as a Muslim sharpshooter and an assassin.,Pankaj Parashar,"Pankaj Dheer, Arbaaz Khan, Salman Khan, Sushmita Sen"
tt3683702,fugly,2014.0,"Drama, Thriller",Four friends fight against a corrupt police officer who extorts money from them for not framing them in a murder which the officer committed himself.,Kabir Sadanand,"Jimmy Shergill, Mohit Marwah, Kiara Advani, Vijender Singh"
tt0233226,anokha bandhan,1982.0,Drama,"Shyamlal has a happy family with his wife Anu, and step-brother Ram. Anu take care of Ram as her own son. Anu's mother came to her house, who wants that Anu should hate Ram. This creates rift between Anu and Ram.",Mehul Kumar,"Shabana Azmi, Seema Deo, Vishal Desai, Aruna Irani"
tt1773015,phas gaye re obama,2010.0,"Comedy, Crime, Drama","Om Shastri, a recession victim comes to India to sell his ancestors property to clear is debt. On reaching he comes to know that selling the property will make his family homeless in India. Later he is kidnapped by goons thinking a rich NRI.",Subhash Kapoor,"Rajat Kapoor, Neha Dhupia, Sanjay Mishra, Manu Rishi Chadha"
